REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PP-ITY,09 Feb 2022,Curitiba (CWB),Jundiai (QDV),AD5999,—,19:20,—,21:05,Scheduled
PP-ITY,09 Feb 2022,—,Curitiba (CWB),AD5486,—,14:55,—,13:55,Scheduled
PP-ITY,09 Feb 2022,Curitiba (CWB),—,AD5485,—,9:00,9:11,14:30,Scheduled
PP-ITY,09 Feb 2022,Jundiai (QDV),Curitiba (CWB),AD5998,1:29,6:30,7:00,8:15,Landed 08:28
PP-ITY,09 Feb 2022,Jundiai (QDV),—,(PPITY),—,—,—,—,Scheduled
PP-ITY,08 Feb 2022,Jundiai (QDV),Jundiai (QDV),(PPITY),—,—,—,19:45,Landed 19:45
PP-ITY,08 Feb 2022,Jundiai (QDV),Jundiai (QDV),(PPITY),0:37,17:31,17:31,18:08,Landed 18:08
PP-ITY,08 Feb 2022,Jundiai (QDV),Jundiai (QDV),AD5950,0:45,12:09,12:09,12:54,Landed 12:54
PP-ITY,07 Feb 2022,Porto Alegre (POA),Jundiai (QDV),AD5429,3:37,6:18,6:18,9:55,Landed 09:55
PP-ITY,05 Feb 2022,Alegrete (ALQ),Porto Alegre (POA),AD5429,1:40,9:35,9:50,11:25,Landed 11:30
PP-ITY,05 Feb 2022,Porto Alegre (POA),Alegrete (ALQ),AD5428,1:47,7:10,7:41,9:10,Landed 09:28
PP-ITY,05 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,1:19,5:00,5:14,6:25,Landed 06:33
PP-ITY,04 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5436,1:22,21:35,22:20,23:05,Landed 23:42
PP-ITY,04 Feb 2022,Porto Alegre (POA),Erechim (ERM),AD5426,—,17:45,—,19:10,Canceled
PP-ITY,04 Feb 2022,Uruguaiana (URG),Porto Alegre (POA),AD5925,2:03,10:45,10:49,12:45,Landed 12:53
PP-ITY,04 Feb 2022,Porto Alegre (POA),Pleasanton (JBS),AD5420,2:46,7:10,7:19,4:20,Landed 05:05
PP-ITY,04 Feb 2022,Bage (BGX),Porto Alegre (POA),AD5438,1:21,5:00,5:12,6:25,Landed 06:33
PP-ITY,03 Feb 2022,Porto Alegre (POA),Bage (BGX),AD5437,1:22,22:25,22:26,23:55,Landed 23:48
PP-ITY,03 Feb 2022,Santa Rosa (SRA),Porto Alegre (POA),AD5435,1:28,20:00,19:42,21:40,Landed 21:10
PP-ITY,03 Feb 2022,Porto Alegre (POA),Santa Rosa (SRA),AD5434,1:40,17:45,17:46,19:35,Landed 19:26
PP-ITY,03 Feb 2022,Vacaria (VCC),Porto Alegre (POA),AD5433,0:44,16:05,16:08,17:00,Landed 16:51
